Site Classification,Street Location,Leasable Area (SqFt),Levels,Vehicle Capacity,Portfolio Owner,Last Inspection Date,Monthly Management Fee
office,"7533 Westheimer Rd, Houston, TX",48823,12,144,Wagner & Associates,05/12/2023,"$4,300.00"
office,"3027 Heights Blvd, Houston, TX",8473,11,162,Lindsey Roman,Jan 2024,4300
office,"3358 Post Oak Blvd, Houston, TX",26004,3,286,Lindsey Roman,2023-11-04,"4,300"
office,"109 Fannin St, Houston, TX",22743,8,19,Lindsey Roman,02/15/2024,"$4,300.00"
office,"6047 Hempstead Rd, Houston, TX",56004,5,132,Javier Johnson,Jan 2024,4300
office,"4046 Hempstead Rd, Houston, TX",38682,2,53,Walker Group,2023-09-22,"4,300"
office,"1233 Bellaire Blvd, Houston, TX",36411,3,75,Davis Partners,08/11/2023,"$4,300.00"
office,"9107 Post Oak Blvd, Houston, TX",18870,9,226,Davis Partners,,4300
office,"8935 Bellaire Blvd, Houston, TX",49336,12,112,Johnson Holdings,2023-12-01,"4,300"
office,"6637 Main St, Houston, TX",44090,6,234,Lawrence LLC,01/05/2024,"$4,300.00"
office,"7497 Richmond Ave, Houston, TX",17746,4,42,Lindsey Roman,Jan 2024,4300
office,"444 Fannin St, Houston, TX",37801,4,122,Abigail Shaffer,2023-10-19,"4,300"
office,"1263 Gessner Rd, Houston, TX",42859,1,127,Allison Hill,03/22/2024,"$4,300.00"
office,"614 Beltway 8 Frontage, Houston, TX",23154,2,273,Megan Mcclain,Jan 2024,
office,"4662 Main St, Houston, TX",33312,4,286,Matthew Gardner,2024-02-14,"4,300"
