Premises,Unit SF,Asset Class,Clear Height,Dock Count,Property Owner,Maint. Last Performed,Current Rent
"6968 Main St, Houston, TX",39751,industrial,28.7,11,Megan Mcclain,01/15/2024,"$4,300.00"
"3446 Main St, Houston, TX",48436,industrial,22.2,9,Robinson Partners,Feb 2024,4300
"2244 Main St, Houston, TX",43803,industrial,21.8,11,Christopher Bernard,2023-12-05,"4,300"
"252 Yale St, Houston, TX",42208,industrial,40.0,4,Megan Mcclain,03/22/2024,"$5,200.00"
"8908 Kirby Dr, Houston, TX",34653,industrial,20.9,12,Megan Mcclain,,5100
"4102 Washington Ave, Houston, TX",20176,industrial,18.1,18,Megan Mcclain,May 2024,"$3,900"
"8766 Westheimer Rd, Houston, TX",45269,industrial,35.2,10,Lawrence LLC,2024-04-12,4800
"2300 Shepherd Dr, Houston, TX",9064,industrial,37.1,18,Javier Johnson,06/10/2024,"$7,100.00"
"4562 Shepherd Dr, Houston, TX",41138,industrial,19.5,11,Robinson Group,,4200
"4425 Heights Blvd, Houston, TX",33516,industrial,20.5,2,Johnson Holdings,07/02/2024,"$3,850"
"7039 Beltway 8 Frontage, Houston, TX",19632,industrial,15.1,11,Megan Mcclain,Aug 2024,3700
"4391 Post Oak Blvd, Houston, TX",50077,industrial,25.5,14,Robinson Group,2024-08-20,"$6,400.00"
"258 Richmond Ave, Houston, TX",6431,industrial,38.6,5,Blair & Associates,09/14/2024,8200
"690 Beltway 8 Frontage, Houston, TX",25696,industrial,29.1,5,Blair & Associates,Oct 2024,"$4,950"
"2188 Westheimer Rd, Houston, TX",21702,industrial,23.5,2,Rogers & Associates,2024-11-05,4100
